rank,title,artists,img_url,song_url,date_scraped
63,Từng Quen,"Wren Evans, Itsnk",https://avatar-ex-swe.nixcdn.com/song/2023/12/21/2/f/e/0/1703130200966.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=63,2025-05-14 20:13:29
64,Cô Phòng,"Hồ Quang Hiếu, Huỳnh Văn",https://avatar-ex-swe.nixcdn.com/song/2024/04/16/4/7/c/b/1713253101033.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=64,2025-05-14 20:13:29
65,Nếu Những Tiếc Nuối,Vũ.,https://avatar-ex-swe.nixcdn.com/song/2024/09/24/e/e/1/5/1727196755158.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=65,2025-05-14 20:13:29
66,Hứa Đợi Nhưng Chẳng Tới,"Vương Thiên Tuấn, Lâm Tuấn",https://avatar-ex-swe.nixcdn.com/song/2024/05/13/6/e/d/3/1715568245167.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=66,2025-05-14 20:13:29
67,Pickleball,Đỗ Phú Quí,https://avatar-ex-swe.nixcdn.com/song/2024/11/07/3/9/8/e/1730981570509.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=67,2025-05-14 20:13:29
68,"Sau Lời Từ Khước (Theme Song From ""MAI"")",Phan Mạnh Quỳnh,https://avatar-ex-swe.nixcdn.com/song/2024/02/15/2/d/d/c/1707978408838.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=68,2025-05-14 20:13:29
69,Thương Thì Thôi (Lofi),Jank,https://avatar-ex-swe.nixcdn.com/song/2024/11/21/5/9/b/6/1732183020066.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=69,2025-05-14 20:13:29
70,Mộng Hoa Sim,Thiên Tú,https://avatar-ex-swe.nixcdn.com/song/2022/12/03/c/6/b/5/1670060092249.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=70,2025-05-14 20:13:29
71,Ikigai,"Tăng Duy Tân, Bích Phương",https://avatar-ex-swe.nixcdn.com/song/2024/10/29/e/c/9/b/75750.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=71,2025-05-14 20:13:29
72,Nếu Lúc Đó,"tlinh, 2pillz",https://avatar-ex-swe.nixcdn.com/song/2023/02/27/2/9/a/2/1677482230509.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=72,2025-05-14 20:13:29
73,Ngày Mai Người Ta Lấy Chồng,Thành Đạt,https://avatar-ex-swe.nixcdn.com/song/2023/05/12/2/4/f/0/1683905522466.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=73,2025-05-14 20:13:29
74,Chúng Ta Không Thuộc Về Nhau,Sơn Tùng M-TP,https://avatar-ex-swe.nixcdn.com/song/2024/03/15/4/c/b/d/1710499889373.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=74,2025-05-14 20:13:29
75,Track 06,"Tyronee, VSTRA, Obito",https://avatar-ex-swe.nixcdn.com/song/2024/12/02/8/9/7/2/1733156226717.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=75,2025-05-14 20:13:29
76,MỘNG YU,MCK,https://avatar-ex-swe.nixcdn.com/song/2024/07/31/7/6/0/3/1722413158147.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=76,2025-05-14 20:13:29
77,BAO LỜI CON CHƯA NÓI,"ANH TRAI ""SAY HI"", Dương Domic, Anh Tú Atus, Song Luân, Quang Trung, Anh Tú",https://avatar-ex-swe.nixcdn.com/song/2024/08/17/f/b/4/4/1723893395674.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=77,2025-05-14 20:13:29
78,Từng Là,Vũ Cát Tường,https://avatar-ex-swe.nixcdn.com/song/2024/03/01/b/3/9/b/1709305231637.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=78,2025-05-14 20:13:29
79,LOVE SAND,"ANH TRAI ""SAY HI"", HIEUTHUHAI, JSOL, Ali Hoàng Dương, Vũ Thịnh",https://avatar-ex-swe.nixcdn.com/song/2024/07/05/8/d/1/2/1720195916328.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=79,2025-05-14 20:13:29
80,Sau Cơn Mưa,"CoolKid, RHYDER",https://avatar-ex-swe.nixcdn.com/song/2023/07/21/5/e/1/e/1689914948837.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=80,2025-05-14 20:13:29
81,id 072019,W/n,https://avatar-ex-swe.nixcdn.com/song/2023/07/31/7/9/9/a/1690808322047.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=81,2025-05-14 20:13:29
82,2 4,W/n,https://avatar-ex-swe.nixcdn.com/song/2024/07/30/1/3/2/a/1722288116052.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=82,2025-05-14 20:13:29
83,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,https://avatar-ex-swe.nixcdn.com/song/2024/03/15/4/c/b/d/1710493302970.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=83,2025-05-14 20:13:29
84,Mình Anh Thôi,Negav,https://avatar-ex-swe.nixcdn.com/song/2024/09/04/0/2/a/2/1725448202194.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=84,2025-05-14 20:13:29
85,Anh Là Ngoại Lệ Của Em,Phương Ly,https://avatar-ex-swe.nixcdn.com/song/2023/10/04/3/b/c/3/1696414640108.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=85,2025-05-14 20:13:29
86,Cạn Tình Như Thế,"DICKSON, Thành Đạt, Lê Chí Trung",https://avatar-ex-swe.nixcdn.com/song/2023/08/18/a/d/8/4/1692360165798.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=86,2025-05-14 20:13:29
87,một bài hát không vui mấy (Extended Version),"T.R.I, Dangrangto, DONAL",https://avatar-ex-swe.nixcdn.com/song/2024/12/24/b/d/a/8/1735007102365.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=87,2025-05-14 20:13:29
88,Hoa Nở Bên Đường,"Quang Đăng Trần, ACV",https://avatar-ex-swe.nixcdn.com/song/2024/03/22/a/a/1/4/1711112400337.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=88,2025-05-14 20:13:29
89,Thiên Lý Ơi,Jack - J97,https://avatar-ex-swe.nixcdn.com/song/2024/02/23/9/a/8/4/1708658535903.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=89,2025-05-14 20:13:29
90,Rất Lâu Rồi Mới Khóc (New Version),Quốc Thiên,https://avatar-ex-swe.nixcdn.com/song/2024/06/14/b/3/7/1/1718336111437.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=90,2025-05-14 20:13:29
91,Cao Ốc 20,"B Ray, Đạt G",https://avatar-ex-swe.nixcdn.com/song/2019/06/22/b/1/2/7/1561218264960.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=91,2025-05-14 20:13:29
92,Đường Chân Trời (Short Cover.),Tú Na,https://avatar-ex-swe.nixcdn.com/song/2024/11/12/b/e/7/0/1731380088676.jpg,https://www.nhaccuatui.com/playlist/top-100-nhac-tre-hay-nhat-va.m3liaiy6vVsF.html?st=92,2025-05-14 20:13:29
